ANP,ecstasy,joy,serenity,admiration,trust,acceptance,terror,fear,apprehension,amazement,surprise,distraction,grief,sadness,pensiveness,loathing,disgust,boredom,rage,anger,annoyance,vigilance,anticipation,interest
tiny_dog,0.015922188272,0.0754975616334,0.0369852635198,0.0297112077994,0.0496982501673,0.023883282408,0.0435002273267,0.0524045047648,0.015922188272,0.0967184693976,0.0354228066994,0.023883282408,0.0384395628689,0.107041075443,0.0297112077994,0.0271808755704,0.0271808755704,0.0487466202902,0.0251148679569,0.0526929070116,0.0337237359353,0.015922188272,0.0271808755704,0.0675159750429
scientific_illustration,0.0343047495551,0.0343047495551,0.0343047495551,0.0343047495551,0.0585618705924,0.0343047495551,0.0514571243326,0.0514571243326,0.0343047495551,0.0514571243326,0.0343047495551,0.0343047495551,0.0343047495551,0.0640135341403,0.0343047495551,0.0343047495551,0.0343047495551,0.0514571243326,0.0343047495551,0.0541106059452,0.0343047495551,0.0343047495551,0.0343047495551,0.0686094991102
bygone_age,0.0330277979273,0.0330277979273,0.0616307099633,0.0330277979273,0.0330277979273,0.0330277979273,0.0330277979273,0.0330277979273,0.0330277979273,0.0660555958545,0.0902336219994,0.0330277979273,0.0330277979273,0.105010214674,0.0330277979273,0.0330277979273,0.0330277979273,0.0330277979273,0.0330277979273,0.0330277979273,0.0330277979273,0.0330277979273,0.0330277979273,0.0495416968909
old_books,0.0299113053256,0.0630122462295,0.0379004930577,0.0113171760495,0.0484265290463,0.015399383931,0.0329392553091,0.0531538183259,0.00662944824204,0.208446882985,0.0402702239145,0.0140413967033,0.0298325170892,0.0783378949362,0.0206926316645,0.0265177929682,0.0171115262796,0.0442774771918,0.0132588964841,0.0452854420307,0.0147488309766,0.00662944824204,0.0132588964841,0.128600486534
long_socks,0.0688589457622,0.0573705596721,0.0544727579464,0.0217891031785,0.0217891031785,0.0217891031785,0.0326836547678,0.0526035484056,0.0217891031785,0.119840067482,0.0326836547678,0.0217891031785,0.0217891031785,0.081461019772,0.0326836547678,0.0217891031785,0.0371963257921,0.0610699675569,0.0217891031785,0.0526035484056,0.0406590200569,0.0217891031785,0.0217891031785,0.0579222430593
natural_beauty,0.0153012048532,0.137452408028,0.149961903679,0.0137710125815,0.0426766367121,0.00821732428016,0.0146803059289,0.0339942198723,0.0125549543138,0.169131443996,0.0298330799263,0.0116390827397,0.0123352918228,0.0788341420432,0.0275585460429,0.00969923561638,0.0148531266892,0.0127691905256,0.0133829655086,0.0313132753532,0.00969923561638,0.00387969424655,0.0220770732839,0.124384646341
classic_trucks,0.0281063679638,0.0503511122373,0.030418463345,0.0178187232809,0.101395943778,0.0178187232809,0.0267280849214,0.0267280849214,0.0178187232809,0.217833396042,0.0356374465619,0.0178187232809,0.0178187232809,0.0623655314833,0.0178187232809,0.0178187232809,0.0178187232809,0.0178187232809,0.0281063679638,0.0408225961202,0.0178187232809,0.0178187232809,0.0178187232809,0.137681925291
shiny_legs,0.0587620381478,0.0917545348708,0.0322625981104,0.0215083987402,0.0215083987402,0.0215083987402,0.040135218444,0.040135218444,0.0215083987402,0.108211525939,0.0367171333419,0.0215083987402,0.040135218444,0.0537709968506,0.0215083987402,0.0215083987402,0.0499613358232,0.0741930008382,0.0215083987402,0.0463441583453,0.0430167974805,0.0215083987402,0.0322625981104,0.0587620381478
long_race,0.0134822574792,0.0901456187265,0.0451009539583,0.0202233862187,0.0894509202212,0.0251582349565,0.0347995782966,0.0412766433083,0.0134822574792,0.129656766538,0.0358400521718,0.0202233862187,0.0337056436979,0.0539290299166,0.0420824445468,0.0134822574792,0.0202233862187,0.0368342124338,0.0325490488576,0.078607748319,0.0134822574792,0.0134822574792,0.0202233862187,0.0825582717806
outdoor_advertising,0.0231274383328,0.049832703827,0.0462548766656,0.0231274383328,0.0231274383328,0.0231274383328,0.0462548766656,0.0231274383328,0.0231274383328,0.076119056728,0.20264463481,0.0346911574992,0.0231274383328,0.0462548766656,0.0231274383328,0.0231274383328,0.0431563874535,0.0394810068094,0.0364800710799,0.0364800710799,0.0231274383328,0.0231274383328,0.0231274383328,0.0648210207223
crazy_donkey,0.0315683246609,0.0497943054018,0.0315683246609,0.0315683246609,0.0315683246609,0.0315683246609,0.108894612115,0.0473524869914,0.0315683246609,0.0589072957722,0.0315683246609,0.0315683246609,0.0473524869914,0.0315683246609,0.0315683246609,0.0315683246609,0.0473524869914,0.0538905010994,0.0315683246609,0.0497943054018,0.0315683246609,0.0315683246609,0.0315683246609,0.0631366493219
lost_cat,0.0227188808519,0.0525104609102,0.0393502559267,0.0144031933146,0.0305064529868,0.0144031933146,0.0268767246206,0.0563953569893,0.0144031933146,0.0800128613246,0.0440961370057,0.0216047899719,0.0642973185388,0.140790701715,0.0320434304583,0.0432095799437,0.0334568271124,0.0599500897684,0.0261633514104,0.0559816310014,0.0347723846415,0.0144031933146,0.0144031933146,0.0632467982497
funny_stuff,0.0128615418996,0.0637689913272,0.0393762897798,0.0128615418996,0.0239999639165,0.0239999639165,0.0286136493793,0.0385846256988,0.0128615418996,0.12046892177,0.0443657568591,0.0257230837992,0.0416208238826,0.0738691918363,0.0219560253933,0.0257230837992,0.0310505088871,0.0622572308362,0.0338643518726,0.0609850251536,0.042331036554,0.0128615418996,0.0239999639165,0.121995343824
classic_chevy,0.0316066191823,0.0602754718977,0.0340735266663,0.0146686830116,0.0250410082401,0.0146686830116,0.0146686830116,0.0250410082401,0.0146686830116,0.349648221588,0.0220030245173,0.0146686830116,0.0146686830116,0.0354133334687,0.0146686830116,0.0220030245173,0.0146686830116,0.0293373660231,0.0336058713497,0.0625764011142,0.0146686830116,0.0146686830116,0.0146686830116,0.108019610068
outdoor_ceremony,0.0140695905929,0.173324347223,0.0464727236173,0.0132223169379,0.0519013351078,0.038484271296,0.0728948055061,0.0319306261004,0.00774545393622,0.117624484722,0.035672085255,0.0132223169379,0.03749243422,0.0700710960902,0.0154909078724,0.00774545393622,0.0116181809043,0.033140622951,0.0154909078724,0.0330420005629,0.00774545393622,0.0144532138088,0.0267178639062,0.110427506707
fluffy_dog,0.0143078152272,0.107400285788,0.039089678146,0.0143078152272,0.040101595948,0.0143078152272,0.030304438956,0.0429234456816,0.0143078152272,0.0854882972448,0.043804131954,0.0244249683983,0.0143078152272,0.128097681729,0.0332352756751,0.0143078152272,0.0244249683983,0.0560219063823,0.0143078152272,0.0587926205758,0.030304438956,0.0143078152272,0.030304438956,0.110819305394
sticky_rice,0.0439921834747,0.05577985351,0.027889926755,0.027889926755,0.027889926755,0.027889926755,0.027889926755,0.027889926755,0.027889926755,0.144561861049,0.027889926755,0.027889926755,0.027889926755,0.0418348901325,0.027889926755,0.027889926755,0.0418348901325,0.0476110830902,0.027889926755,0.027889926755,0.027889926755,0.027889926755,0.027889926755,0.150256483776
silent_lake,0.0209160030792,0.073553456511,0.158469537177,0.0209160030792,0.0313740046188,0.0209160030792,0.0209160030792,0.0357058506918,0.0209160030792,0.110879133966,0.0313740046188,0.0209160030792,0.0313740046188,0.0762545456481,0.0357058506918,0.0209160030792,0.0209160030792,0.0313740046188,0.0209160030792,0.0329918630873,0.0209160030792,0.0209160030792,0.0313740046188,0.0894937052621
open_tech,0.0257751945138,0.0406565100048,0.0545927380469,0.0257751945138,0.0440010093409,0.0257751945138,0.0440010093409,0.0440010093409,0.0257751945138,0.187769780111,0.0545927380469,0.0257751945138,0.0257751945138,0.0515503890276,0.0257751945138,0.0257751945138,0.0386627917707,0.0257751945138,0.0257751945138,0.0406565100048,0.0257751945138,0.0257751945138,0.0257751945138,0.0644379862845
soft_toy,0.0123243270037,0.109626690369,0.0455085930297,0.0123243270037,0.0391845749819,0.0123243270037,0.0274184832949,0.0353810315889,0.0123243270037,0.118162960838,0.100337626231,0.0123243270037,0.0377315780042,0.0814944407594,0.0246486540074,0.0123243270037,0.0184864905056,0.0377315780042,0.0246486540074,0.0892897244735,0.0246486540074,0.0123243270037,0.0261033434823,0.0733266333889
beautiful_clouds,0.00761941048267,0.0825825634095,0.141512818491,0.0312133260958,0.0220804100746,0.00514619879585,0.0105510071098,0.0234047704036,0.00602914691988,0.32271929166,0.0259728809418,0.00823596785571,0.0116732765066,0.0562838863394,0.0108466650536,0.00514619879585,0.00638496904974,0.0317322426367,0.0106010836318,0.0241165876795,0.00727782413176,0.00301457345994,0.0119318020105,0.133923098465
